"IP","Hostname","Log Name","Date Time","Time Zone","Method","URL","Response Code","Bytes Sent","Referer","User Agent"
"64.242.88.10","","-","2004-03-07 16:58:54","GMT-0800","GET","/mailman/listinfo/administration",200,6459,"",""
"lordgun.org","mtl93-14-78-241-195-205.fbx.proxad.net","-","2004-03-07 17:01:53","GMT-0800","GET","/razor.html",200,2869,"",""
"64.242.88.10","","-","2004-03-07 17:09:01","GMT-0800","GET","/twiki/bin/search/Main/SearchResult?scope=text®ex=on&search=Joris%20*Benschop[^A-Za-z]",200,4284,"",""
"64.242.88.10","","-","2004-03-07 17:10:20","GMT-0800","GET","/twiki/bin/oops/TWiki/TextFormattingRules?template=oopsmore¶m1=1.37¶m2=1.37",200,11400,"",""
"64.242.88.10","","-","2004-03-07 17:13:50","GMT-0800","GET","/twiki/bin/edit/TWiki/DefaultPlugin?t=1078688936",401,12846,"",""
"64.242.88.10","","-","2004-03-07 17:16:00","GMT-0800","GET","/twiki/bin/search/Main/?scope=topic®ex=on&search=^g",200,3675,"",""
"64.242.88.10","","-","2004-03-07 17:17:27","GMT-0800","GET","/twiki/bin/search/TWiki/?scope=topic®ex=on&search=^d",200,5773,"",""
"lj1036.inktomisearch.com","unallocated.barefruit.co.uk","-","2004-03-07 17:18:36","GMT-0800","GET","/robots.txt",200,68,"",""
"lj1090.inktomisearch.com","unallocated.barefruit.co.uk","-","2004-03-07 17:18:41","GMT-0800","GET","/twiki/bin/view/Main/LondonOffice",200,3860,"",""
"64.242.88.10","","-","2004-03-07 17:21:44","GMT-0800","GET","/twiki/bin/attach/TWiki/TablePlugin",401,12846,"",""
"64.242.88.10","","-","2004-03-07 17:22:49","GMT-0800","GET","/twiki/bin/view/TWiki/ManagingWebs?rev=1.22",200,9310,"",""
"64.242.88.10","","-","2004-03-07 17:23:54","GMT-0800","GET","/twiki/bin/statistics/Main",200,808,"",""
"64.242.88.10","","-","2004-03-07 17:26:30","GMT-0800","GET","/twiki/bin/view/TWiki/WikiCulture",200,5935,"",""
"64.242.88.10","","-","2004-03-07 17:27:37","GMT-0800","GET","/twiki/bin/edit/Main/WebSearch?t=1078669682",401,12846,"",""
"64.242.88.10","","-","2004-03-07 17:28:45","GMT-0800","GET","/twiki/bin/oops/TWiki/ResetPassword?template=oopsmore¶m1=1.4¶m2=1.4",200,11281,"",""
"64.242.88.10","","-","2004-03-07 17:29:59","GMT-0800","GET","/twiki/bin/view/TWiki/ManagingWebs?skin=print",200,8806,"",""
"64.242.88.10","","-","2004-03-07 17:31:39","GMT-0800","GET","/twiki/bin/edit/Main/UvscanAndPostFix?topicparent=Main.WebHome",401,12846,"",""
"64.242.88.10","","-","2004-03-07 17:35:35","GMT-0800","GET","/twiki/bin/view/TWiki/KlausWriessnegger",200,3848,"",""
"64.242.88.10","","-","2004-03-07 17:39:39","GMT-0800","GET","/twiki/bin/view/Main/SpamAssassin",200,4081,"",""
"64.242.88.10","","-","2004-03-07 17:42:15","GMT-0800","GET","/twiki/bin/oops/TWiki/RichardDonkin?template=oopsmore¶m1=1.2¶m2=1.2",200,11281,"",""
"64.242.88.10","","-","2004-03-07 17:46:17","GMT-0800","GET","/twiki/bin/rdiff/TWiki/AlWilliams?rev1=1.3&rev2=1.2",200,4485,"",""
"64.242.88.10","","-","2004-03-07 17:47:43","GMT-0800","GET","/twiki/bin/rdiff/TWiki/AlWilliams?rev1=1.2&rev2=1.1",200,5234,"",""
"64.242.88.10","","-","2004-03-07 17:50:44","GMT-0800","GET","/twiki/bin/view/TWiki/SvenDowideit",200,3616,"",""
"64.242.88.10","","-","2004-03-07 17:53:45","GMT-0800","GET","/twiki/bin/search/Main/SearchResult?scope=text®ex=on&search=Office%20*Locations[^A-Za-z]",200,7771,"",""
